year,production-SA,export-SA,export-SA-L,rain-SA,rain-SA-lag1,rain-SA-lag2,ET-SA,T-SA,val,gdp-L,gdp-SA,T-SA-dummy,production-L,import-L,rain-L,rain-L-lag1,rain-L-lag2,ET-L,T-L,val,T-L-dummy,import-val-L,population,need-maize,need-maize-new,need-maize-new-1,need,need1,need2,Shortage
1981,14872,4406,118.976,339.1006418,291.4997466,254.9372294,3.6812346,292.93228,-0.868916061,434188034.2,89629496833,1,106,74,485.970266,365.1286575,383.1725091,3.563704,289.78,-0.50194303,1,5385,1343690,120,160,172,161.2428,180,231.11468,55.243
1982,8781,3902,70.248,264.5163477,339.1006418,291.4997466,3.5480793,293.995,0.193803939,348746822.6,82696902010,0,83,112,368.3476015,485.970266,365.1286575,3.4766767,290.4761,0.19415697,0,7046,1377346,120,160,172,165.28152,195,236.903512,82.282
1983,4399,1302,35.192,209.7499189,264.5163477,339.1006418,3.381953,295.17404,1.372843939,386699308.9,88786580363,0,76,112,289.1321174,368.3476015,485.970266,3.128815,291.7063,1.42435697,0,4853,1410439,120,160,172,169.25268,188,242.595508,93.253
1984,4797,43,38.376,241.9196522,209.7499189,264.5163477,3.0561492,294.91107,1.109873939,333158476.2,87880468269,0,79,118,364.7196281,289.1321174,368.3476015,3.3198416,290.9793,0.69735697,0,7185,1442212,120,160,172,173.06544,197,248.060464,94.065
1985,8444,381,67.552,316.7562846,241.9196522,209.7499189,3.3572054,293.9975,0.196303939,268626912.5,69208451593,0,92,57,492.4036502,364.7196281,289.1321174,3.4731357,290.3332,0.05125697,0,4792,1472192,120,160,172,176.66304,149,253.217024,84.663
1986,8600,1771,68.8,261.9920656,316.7562846,241.9196522,3.0596359,293.8249,0.023703939,318862888.4,82107924006,0,86,128,433.7900303,492.4036502,364.7196281,3.5130477,289.81055,-0.47139303,1,7771,1499861,120,160,172,179.98332,214,257.976092,93.983
1987,7890,2488,63.12,323.5784663,261.9920656,316.7562846,3.426321,294.63556,0.834363939,402774852.7,1.07E+11,0,95,106,461.9845855,433.7900303,492.4036502,3.3758953,291.05228,0.77033697,0,3894,1525460,120,160,172,183.0552,201,262.37912,88.055
1988,7670,370,61.36,388.821998,323.5784663,261.9920656,3.4259386,294.38794,0.586743939,470389179.7,1.18E+11,0,160,175,555.2750717,461.9845855,433.7900303,3.5063806,290.77612,0.49417697,0,14600,1550262,120,160,172,186.03144,335,266.645064,26.031
1989,12481,2960,99.848,421.4087103,388.821998,323.5784663,3.7103808,292.21634,-1.584856061,495404888.1,1.29E+11,1,137,128,562.4003251,555.2750717,461.9845855,3.621949,288.912,-1.36994303,1,8000,1576022,120,160,172,189.12264,265,271.075784,52.123
1990,9180,2037,73.44,307.1069092,421.4087103,388.821998,3.4720588,293.08588,-0.715316061,596415104.5,1.16E+11,1,172,128,443.0059752,562.4003251,555.2750717,3.5741978,289.20798,-1.07396303,1,8000,1603938,120,160,172,192.47256,300,275.877336,20.473
1991,8614,489,68.912,454.8834316,307.1069092,421.4087103,3.6639736,293.17856,-0.622636061,704329192.8,1.24E+11,1,49,242,617.7817825,443.0059752,562.4003251,3.497356,289.94925,-0.33269303,1,8000,1634517,120,160,172,196.14204,291,281.136924,147.142
1992,3277,566,26.216,170.2478083,454.8834316,307.1069092,2.8628278,295.13745,1.336253939,831033941.1,1.35E+11,0,61,267,292.9981794,617.7817825,443.0059752,3.1349638,291.04532,0.76337697,0,9400,1667121,120,160,172,200.05452,328,286.744812,139.055
1993,9997,249,79.976,252.9423831,170.2478083,454.8834316,3.3858922,293.5904,-0.210796061,835592802.3,1.34E+11,1,92,259,385.6016202,292.9981794,617.7817825,3.336481,290.00952,-0.27242303,1,9000,1700362,120,160,172,204.04344,351,292.462264,112.043
1994,13275,3900,106.2,320.1311798,252.9423831,170.2478083,3.6533356,292.59485,-1.206346061,878250450.6,1.40E+11,1,149,265,525.623603,385.6016202,292.9981794,3.698643,288.8756,-1.40634303,1,4800,1732257,120,160,172,207.87084,414,297.948204,58.871
1995,4866,1614,38.928,261.051775,320.1311798,252.9423831,3.1934516,294.48013,0.678933939,1001889857,1.55E+11,0,63,200,378.9264501,525.623603,385.6016202,3.2124367,290.97455,0.69260697,0,26800,1761359,120,160,172,211.36308,263,302.953748,148.363
1996,10171,2111,81.368,397.4225664,261.051775,320.1311798,3.7454524,292.76816,-1.033036061,946123275.9,1.48E+11,1,188,296,573.2558332,378.9264501,525.623603,3.675991,289.4656,-0.81634303,1,23882,1787273,120,160,172,214.47276,484,307.410956,26.473
1997,10136,1830,81.088,327.8486664,397.4225664,261.051775,3.4473727,293.29276,-0.508436061,997996028.6,1.53E+11,1,142,179,487.9205596,573.2558332,378.9264501,3.62444,289.57974,-0.70220303,1,16000,1810453,120,160,172,217.25436,321,311.397916,75.254
1998,7693,1220,61.544,319.3263896,327.8486664,397.4225664,3.8603518,293.6856,-0.115596061,928458206,1.38E+11,1,119,220,531.1013445,487.9205596,573.2558332,3.739046,290.1812,-0.10074303,1,19500,1831298,120,160,172,219.75576,339,314.983256,100.756
1999,7946,677,63.568,204.7613602,319.3263896,327.8486664,3.2042236,294.6944,0.893203939,912771290.6,1.37E+11,0,125,152,391.9891207,531.1013445,487.9205596,3.6991973,290.89307,0.61112697,0,21000,1850527,120,160,172,222.06324,277,318.290644,97.063
2000,11431,724,91.448,643.8435398,204.7613602,319.3263896,3.55633,292.74323,-1.057966061,887295267.9,1.36E+11,1,107,122,761.740502,391.9891207,531.1013445,3.526102,289.86816,-0.41378303,1,16000,1868699,120,160,172,224.24388,229,321.416228,117.244
2001,7772,728,62.176,217.6267504,643.8435398,204.7613602,3.100236,293.931,0.129803939,825706961.2,1.22E+11,0,158,152,409.8637921,761.740502,391.9891207,3.3964877,290.11517,-0.16677303,1,17659,1885955,120,160,172,226.3146,310,324.38426,68.315
2002,10076,990,80.608,259.7843544,217.6267504,643.8435398,3.696327,293.48602,-0.315176061,775780697.7,1.15E+11,1,111,140,399.2770689,409.8637921,761.740502,3.8025308,289.9541,-0.32784303,1,15263,1902312,120,160,172,228.27744,251,327.197664,117.277
2003,9705,922,77.64,252.5225742,259.7843544,217.6267504,3.4303064,294.47906,0.677863939,1157832935,1.75E+11,0,82,166,428.6711899,399.2770689,409.8637921,3.598834,290.9073,0.62535697,0,15989,1918097,120,160,172,230.17164,248,329.912684,148.172
2004,9710,524,77.68,337.7803577,252.5225742,259.7843544,3.2663715,293.4419,-0.359296061,1511236656,2.29E+11,1,81,152,501.8090911,428.6711899,399.2770689,3.4643092,290.05704,-0.22490303,1,16000,1933728,120,160,172,232.04736,233,332.601216,151.047
2005,11716,2579,93.728,330.7097541,337.7803577,252.5225742,3.4955351,293.6344,-0.166796061,1682350935,2.58E+11,1,79,114,528.1712487,501.8090911,428.6711899,3.48424,290.1243,-0.15764303,1,16400,1949543,120,160,172,233.94516,193,335.321396,154.945
2006,6935,713,55.48,487.0840891,330.7097541,337.7803577,3.3751364,292.64737,-1.153826061,1800105590,2.72E+11,1,101,132,624.1157306,528.1712487,501.8090911,3.2555957,289.67447,-0.60747303,1,19000,1965662,120,160,172,235.87944,233,338.093864,134.879
2007,7125,107,57,101.5434592,487.0840891,330.7097541,2.647588,295.01605,1.214853939,1716262753,2.99E+11,0,60,171,276.3719837,624.1157306,528.1712487,3.0509775,291.09875,0.81680697,0,24500,1982287,120,160,172,237.87444,231,340.953364,177.874
2008,12700,1303,101.6,285.4186639,101.5434592,487.0840891,3.028347,293.0856,-0.715596061,1758534995,2.87E+11,1,60,313,401.0997025,276.3719837,624.1157306,3.2610521,289.9885,-0.29344303,1,26000,1999930,120,160,172,239.9916,373,343.98796,179.992
2009,12050,1887,96.4,378.5120814,285.4186639,101.5434592,3.4257064,293.34842,-0.452776061,1773199523,2.96E+11,1,57,313,470.3793639,401.0997025,276.3719837,3.3228743,290.20178,-0.08016303,1,26000,2019209,120,160,172,242.30508,370,347.303948,185.305
2010,12815,1448,102.52,371.064617,378.5120814,285.4186639,3.5011628,293.83606,0.034863939,2361613520,3.75E+11,0,128,257,464.8228692,470.3793639,401.0997025,3.2834482,290.92844,0.64649697,0,26000,2040551,120,160,172,244.86612,385,350.974772,116.866
2011,10360,2765,82.88,316.8004299,371.064617,378.5120814,3.3880877,293.61594,-0.185256061,2787951881,4.16E+11,1,73,294,479.8370701,464.8228692,470.3793639,3.5423908,290.25125,-0.03069303,1,27000,2064166,120,160,172,247.69992,367,355.036552,174.7
2012,12121,1195,96.968,194.2938541,316.8004299,371.064617,2.9130874,294.5436,0.742403939,2678475773,3.96E+11,0,42,304,394.5345738,479.8370701,464.8228692,3.184188,290.9908,0.70885697,0,28000,2089928,120,160,172,250.79136,346,359.467616,208.791
2013,11811,3036,94.488,178.0355921,194.2938541,316.8004299,2.6253884,295.048,1.246803939,2526009063,3.67E+11,0,86,181,342.9698951,394.5345738,479.8370701,3.0062063,291.13638,0.85443697,0,22856,2117361,120,160,172,254.08332,267,364.186092,168.083